trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.1, 'e': 0.174824614723797}",30,12,13.26918268176514,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.16608338398760716}",20,1,14.385801853563265,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.1577792147882268}",30,10,11.12079863944791,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.14989025404881545}",25,2,11.637444888282477,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.14239574134637467}",20,11,19.99365387714917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.13527595427905592}",25,18,8.760493297993094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.12851215656510312}",25,17,13.184286333411933,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.12208654873684796}",20,15,9.878153026975342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.1, 'e': 0.11598222130000556}",25,4,7.322008206681088,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.11018311023500528}",30,0,16.151440552203614,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.10467395472325501}",30,0,42.29647519924668,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.09944025698709225}",20,15,10.014093322254393,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.09446824413773763}",20,4,27.63964700580172,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
